Load1;Ts_o_1;Ts_i_1;Tp_o_1;Tp_i_1;Load2;Ts_o_2;Ts_i_2;Tp_o_2;Tp_i_2;Load3;Ts_o_3;Ts_i_3;Tp_o_3;Tp_i_3
7E-07;69.90;48.90;59.10;90.00;5E-07;68.80;48.90;26.80;89.80;4E-07;68.2;23;27;89.8
6E-07;69.80;47.50;55.40;90.00;3E-07;69.20;47.50;37.10;89.80;4E-07;68.5;35.7;39;89.8
6E-08;69.40;43.10;44.20;89.70;3E-07;69.20;43.10;42.50;89.70;3E-07;68.8;41;43.7;89.7
3E-07;67.80;36.80;55.90;89.30;2E-07;69.10;36.80;36.30;89.20;2E-07;66.7;29.1;46.4;89.4
1E-07;68.90;36.60;64.20;89.00;3E-07;69.20;36.60;35.70;89.10;1E-07;65.9;24.2;50.3;88.8
3E-07;68.70;36.20;61.20;89.30;2E-07;69.20;36.20;35.80;89.10;3E-07;65.8;24.1;50;88.6
4E-07;68.00;26.50;38.90;89.70;4E-07;68.60;26.50;27.90;89.70;2E-07;67.7;25.2;48.8;88.5
3E-07;68.80;42.90;50.60;89.80;3E-07;69.10;42.90;43.00;89.80;3E-07;68.1;25.7;48.2;88.6
3E-07;68.80;41.50;50.10;89.80;4E-07;69.20;41.50;41.40;89.70;5E-07;67.9;18.6;27.6;89.4
4E-07;68.80;39.30;63.10;89.50;4E-07;69.20;39.30;35.90;89.20;4E-07;68.4;30.3;34.5;89.8
3E-07;68.70;41.70;55.40;89.10;3E-07;69.00;41.70;36.00;88.90;3E-07;68.9;39.3;41.7;89.7
